profile_num,profile_label,scenario,quarter,E_L,P99_L,P99_E_ratio,var_tau,h_bar,follow_rate,p0_eff_mean
6,agence_creative,G2,4,592.23,1039.2099999999998,1.7547405568782395,0.059875248554223326,0.5950514113974886,0.3942125,0.5174116797710631
6,agence_creative,G2,5,593.99,1016.0,1.7104665061701376,0.05915121088617506,0.5941269478631935,0.395865,0.5198010040756224
6,agence_creative,G2,6,604.55,955.3499999999997,1.580266313787114,0.05843220542679565,0.593016527881924,0.3984700000000001,0.5221737220915744
6,agence_creative,G2,7,593.78,1040.2099999999998,1.75184411734986,0.057710998091680635,0.5921018741308496,0.4022925,0.5245537062974539
6,agence_creative,G2,8,581.035,1020.0999999999999,1.7556601581660312,0.05696556170399306,0.5909501902156171,0.40452,0.5270136463768229
6,agence_creative,G2,9,595.88,995.0199999999991,1.6698328522521297,0.056240719611773474,0.589994066850374,0.40974999999999995,0.5294056252811477
6,agence_creative,G2,10,564.195,919.3699999999997,1.629525252793803,0.05551402217994795,0.5893871085203162,0.4124875,0.5318037268061718
6,agence_creative,G2,11,566.55,972.1099999999999,1.7158414967787485,0.05474888314146476,0.5885015999946148,0.4175425,0.5343286856331663
6,agence_creative,G2,12,568.125,1055.11,1.857179317931793,0.05397876298178396,0.5878241094668074,0.4195875,0.5368700821601131
6,agence_creative,G2,13,576.965,1022.2299999999998,1.771736587141334,0.053331424064065276,0.5869951085936314,0.42157749999999994,0.5390063005885847
6,agence_creative,G2,14,565.07,1074.8699999999992,1.9021891093138887,0.05274198523863365,0.5864139456208043,0.4258175,0.5409514487125091
6,agence_creative,G2,15,567.85,1045.2099999999998,1.8406445364092625,0.05206473126495226,0.5856823974733277,0.42886250000000004,0.5431863868256577
6,agence_creative,G2,16,576.095,966.7599999999993,1.678126003523723,0.05157928665535425,0.5848833350132112,0.43077,0.5447883540373311
6,agence_creative,G2,17,547.095,911.5399999999986,1.666145733373543,0.051015756229054625,0.5844183939039734,0.43404,0.5466480044441198
6,agence_creative,G2,18,551.97,1144.03,2.072630758918057,0.050438973997338925,0.5839111516747902,0.4365675,0.5485513858087816
6,agence_creative,G2,19,564.795,990.2799999999997,1.7533441337122315,0.04992414627999579,0.5836686893426035,0.4383725,0.5502503172760139
6,agence_creative,G2,20,559.06,1140.2599999999998,2.0396021893893317,0.04940650134364522,0.5831725244520372,0.439805,0.5519585455659708
7,backoffice_csp,baseline,1,1123.765,1415.4799999999987,1.2595871912721952,0.04976471511931317,0.44972075344165574,0.0,0.0
7,backoffice_csp,baseline,2,1127.395,1435.02,1.2728635482683532,0.04972453060203902,0.44977990583793653,0.0,0.0
7,backoffice_csp,baseline,3,1096.585,1354.02,1.2347606432697875,0.049721883932516475,0.4499594299617831,0.0,0.0
7,backoffice_csp,baseline,4,1096.5,1407.5899999999995,1.2837118103055172,0.04974361136332368,0.450246438665655,0.0,0.0
7,backoffice_csp,baseline,5,1115.845,1364.3699999999997,1.22272358616116,0.04974460448828582,0.45032777947740077,0.0,0.0
7,backoffice_csp,baseline,6,1094.605,1431.2099999999998,1.3075127557429391,0.04974890466740554,0.45021258571331757,0.0,0.0
7,backoffice_csp,baseline,7,1111.73,1351.3699999999997,1.215555935344013,0.0497741709642639,0.45023784818860585,0.0,0.0
7,backoffice_csp,baseline,8,1101.785,1361.2399999999998,1.235486052178964,0.04976059470825673,0.45001127710243544,0.0,0.0
7,backoffice_csp,baseline,9,1092.365,1358.1699999999998,1.243329839385187,0.049718241595792294,0.4499691181553737,0.0,0.0
7,backoffice_csp,baseline,10,1093.42,1416.5799999999995,1.2955497430081757,0.04981702903307719,0.44999874624820924,0.0,0.0
7,backoffice_csp,baseline,11,1106.67,1417.07,1.2804810828883044,0.04991325647065043,0.44992326286069073,0.0,0.0
7,backoffice_csp,baseline,12,1092.495,1365.05,1.2494794026517284,0.04979518388303625,0.44988282234838906,0.0,0.0
7,backoffice_csp,baseline,13,1106.43,1399.05,1.264472221469049,0.049791169773748124,0.44990248624651863,0.0,0.0
7,backoffice_csp,baseline,14,1091.3,1400.07,1.282937780628608,0.04980871418619387,0.4499230253141772,0.0,0.0
7,backoffice_csp,baseline,15,1106.52,1390.2599999999998,1.2564255503741457,0.049718287862540074,0.4497115275684628,0.0,0.0
7,backoffice_csp,baseline,16,1094.005,1400.1799999999998,1.279866179770659,0.04971192993884696,0.44965775072867786,0.0,0.0
7,backoffice_csp,baseline,17,1105.675,1407.3299999999997,1.272824292852782,0.04959263138402916,0.4496254585358706,0.0,0.0
7,backoffice_csp,baseline,18,1096.04,1370.07,1.250018247509215,0.049678626291717286,0.4496312595657315,0.0,0.0
7,backoffice_csp,baseline,19,1094.495,1378.2499999999998,1.2592565521085066,0.049762336081912294,0.44970885995356996,0.0,0.0
7,backoffice_csp,baseline,20,1096.685,1370.8399999999992,1.249985182618527,0.04979651651806574,0.4495993671736497,0.0,0.0
7,backoffice_csp,G0,1,534.65,1590.5799999999995,2.9749929860656494,0.04941860713442479,0.4364151888095292,0.73952,0.8529651036144336
7,backoffice_csp,G0,2,561.865,1547.2599999999989,2.7537931709574344,0.048727109937173704,0.42404439689446655,0.745515,0.8564917393204141
7,backoffice_csp,G0,3,519.825,1315.3599999999988,2.5303900351079665,0.04798322614305901,0.4124523403185446,0.7503974999999999,0.860285546670399
7,backoffice_csp,G0,4,531.26,1662.5499999999986,3.12944697511576,0.04717959700826731,0.4016569252006779,0.7565525,0.8643840552578368
7,backoffice_csp,G0,5,543.165,1630.3599999999997,3.001592517927333,0.04633362724899674,0.39145769186268065,0.7607300000000001,0.8686985010301166
7,backoffice_csp,G0,6,572.235,1695.2299999999998,2.9624717117967263,0.04547747463279556,0.3818224365135897,0.7668424999999999,0.8730648793727426
7,backoffice_csp,G0,7,523.655,1381.08,2.637385301391183,0.04473934765300035,0.3726666011661323,0.7713249999999999,0.8768293269696982
7,backoffice_csp,G0,8,524.205,1743.7999999999993,3.3265611735866676,0.04396320873520995,0.36417531981461293,0.7761475000000001,0.8807876354504292
7,backoffice_csp,G0,9,539.995,1850.04,3.4260317225159493,0.04312607718245193,0.35578932070154307,0.7821199999999999,0.8850570063694951
7,backoffice_csp,G0,10,497.91,1517.3799999999997,3.047498543913558,0.042276414586836314,0.34847215620258637,0.7878450000000001,0.8893902856071348
7,backoffice_csp,G0,11,514.49,1711.1399999999999,3.3258955470465894,0.04156101163742009,0.34119402990280023,0.7914399999999999,0.8930388406491576
7,backoffice_csp,G0,12,490.625,1688.2299999999998,3.4409783439490442,0.04069581647938478,0.334361306444182,0.7977474999999999,0.8974513359551376
7,backoffice_csp,G0,13,544.18,1784.7799999999993,3.2797603734058574,0.03987582880832489,0.3279630813949412,0.8022450000000001,0.9016332730775432
7,backoffice_csp,G0,14,471.365,1850.01,3.924792888738027,0.0390576015737409,0.3220801590205947,0.8093375,0.9058062319739215
7,backoffice_csp,G0,15,517.855,1879.04,3.6285060489905474,0.03830347047070205,0.3162795590000452,0.8143575,0.9096523005994195
