quarter_type,quarter_id,agent,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
good,194_2,62,0,0,0,0,0,0,0,0,0,0
good,194_2,63,0,0,0,0,0,0,0,0,0,0
good,194_2,64,1,0,0,0,0,0,0,0,0,0
good,194_2,65,0,0,0,0,1,0,1,0,0,0
good,194_2,66,0,0,0,0,0,0,0,0,0,0
good,194_2,67,0,0,0,0,0,0,0,0,0,0
good,194_2,68,0,0,0,0,0,0,0,0,0,0
good,194_2,69,0,0,0,0,0,0,0,0,0,0
good,194_2,70,0,0,0,0,0,0,0,0,0,0
good,194_2,71,0,0,0,0,1,0,0,0,0,0
good,194_2,72,0,0,0,0,1,0,0,0,0,0
good,194_2,73,0,0,0,0,0,0,0,1,0,0
good,194_2,74,0,0,0,0,0,0,1,0,0,0
good,194_2,75,0,0,0,0,0,0,0,0,0,0
good,194_2,76,0,0,0,0,0,0,0,0,0,0
good,194_2,77,0,0,0,0,0,0,0,0,0,0
good,194_2,78,0,0,0,0,0,0,0,0,0,0
good,194_2,79,0,0,0,0,0,0,0,0,0,0
good,194_2,80,0,0,0,0,0,0,0,0,0,0
good,194_2,81,0,0,0,0,0,0,0,0,0,0
good,194_2,82,0,0,0,0,0,0,0,0,0,0
good,194_2,83,0,0,0,0,0,0,0,1,0,0
good,194_2,84,0,0,0,0,0,0,0,0,0,0
good,194_2,85,0,0,0,0,0,0,0,0,0,0
good,194_2,86,0,0,0,0,0,0,0,0,0,0
good,194_2,87,0,0,0,0,0,0,0,0,0,0
good,194_2,88,0,0,0,0,0,0,0,0,0,0
good,194_2,89,0,0,0,0,0,0,0,0,0,0
good,194_2,90,0,0,0,0,0,0,0,0,0,0
good,194_2,91,0,0,0,0,0,0,0,0,0,0
good,194_2,92,0,0,0,0,0,0,0,0,0,0
good,194_2,93,0,0,0,0,0,0,1,0,0,1
good,194_2,94,0,0,0,0,0,0,0,0,0,0
good,194_2,95,0,0,0,0,0,0,0,0,0,0
good,194_2,96,0,0,0,0,0,0,0,0,0,0
good,194_2,97,0,0,0,0,0,0,0,0,0,0
good,194_2,98,0,0,0,0,0,0,1,0,0,0
good,194_2,99,0,0,0,0,1,0,0,0,0,0
good,194_2,100,0,0,0,0,0,0,0,0,0,0
good,194_2,101,0,0,0,0,0,0,0,0,0,0
good,194_2,102,0,0,0,0,0,0,0,0,0,1
good,194_2,103,0,0,0,0,0,0,0,0,0,0
good,194_2,104,0,0,0,0,1,0,0,0,0,0
good,194_2,105,0,0,0,0,0,0,0,0,0,0
good,194_2,106,0,0,0,0,0,0,0,0,0,0
good,194_2,107,0,0,0,0,0,0,0,0,0,0
good,194_2,108,0,0,0,0,0,1,0,0,0,0
good,194_2,109,0,0,0,0,0,0,0,0,0,0
good,194_2,110,0,0,0,0,0,0,0,0,0,0
good,194_2,111,0,0,0,0,0,0,0,0,0,0
good,194_2,112,0,0,0,0,1,0,0,0,0,0
good,194_2,113,0,0,0,0,0,0,0,0,0,0
good,194_2,114,0,0,0,0,0,0,0,0,0,0
good,194_2,115,0,0,0,0,1,0,0,0,0,1
good,194_2,116,0,0,0,0,0,0,0,0,0,0
good,194_2,117,0,0,0,0,0,0,0,0,0,0
good,194_2,118,0,0,0,0,0,0,0,0,0,0
good,194_2,119,0,0,0,0,0,0,0,0,0,0
good,194_2,120,0,0,0,0,0,0,0,1,0,0
good,194_2,121,0,0,0,0,1,0,1,0,0,0
good,194_2,122,0,0,0,0,0,0,0,0,0,0
good,194_2,123,0,0,0,0,0,0,0,0,0,0
good,194_2,124,0,0,0,0,0,0,0,0,0,0
good,194_2,125,0,0,0,0,0,0,0,0,0,0
good,194_2,126,0,0,0,0,0,0,0,0,0,0
good,194_2,127,0,0,0,0,0,0,1,0,0,0
good,194_2,128,0,0,0,0,0,0,0,0,0,0
good,194_2,129,0,0,0,0,1,0,0,0,0,0
good,194_2,130,0,0,0,0,0,0,0,0,0,0
good,194_2,131,0,0,0,0,1,0,0,0,0,0
good,194_2,132,0,0,0,0,0,0,0,1,0,0
good,194_2,133,0,0,0,0,0,0,0,0,0,0
good,194_2,134,0,0,0,0,0,0,0,0,0,0
